Age,State,Insurance Type,Annual Premium (AUD),Claim Amount (AUD),Claim Status,Policy Start Date,Policy End Date,Product Tier,Payment Frequency,Risk Score
55,VIC,Health,4835.15,12816.13,Approved,21-06-2024,21-06-2025,Premium,Annually,0.54
34,ACT,Travel,1980.4,1477.54,Approved,27-04-2024,27-04-2025,Standard,Monthly,0.58
30,NT,Travel,825.35,469.56,Rejected,16-07-2023,15-07-2024,Basic,Quarterly,0.13
52,NT,Home,3548.11,3256.92,Rejected,21-08-2024,21-08-2025,Gold,Quarterly,0.73
38,NSW,Car,1567.14,717.84,Rejected,09-03-2023,08-03-2024,Standard,Monthly,0.4
25,ACT,Car,608.12,501.11,Approved,17-06-2024,17-06-2025,Standard,Quarterly,0.19
66,VIC,Health,5785.47,5455.49,Approved,03-11-2023,02-11-2024,Gold,Annually,0.68
30,ACT,Life,3869.05,2575.46,Approved,02-01-2024,01-01-2025,Basic,Quarterly,0.2
68,SA,Health,5441.57,4753.98,Approved,22-10-2023,21-10-2024,Gold,Annually,0.75
24,VIC,Car,656.06,309.45,Approved,10-05-2023,09-05-2024,Basic,Quarterly,0.3
50,NT,Car,3080.51,1497.13,Rejected,13-12-2023,12-12-2024,Premium,Annually,0.32
25,TAS,Life,1829.88,1776.66,Rejected,16-11-2023,15-11-2024,Basic,Monthly,0.21
52,QLD,Life,6868.26,9827.67,Approved,18-09-2024,18-09-2025,Gold,Annually,0.64
27,NSW,Home,2255.35,2481.07,Approved,07-06-2023,06-06-2024,Basic,Monthly,0.24
50,SA,Home,4810.51,7252.93,Approved,29-04-2023,28-04-2024,Premium,Annually,0.34
26,TAS,Travel,2069.82,2345.64,Approved,01-06-2023,31-05-2024,Standard,Quarterly,0.24
21,NT,Health,4673.45,4687.19,Approved,11-11-2024,11-11-2025,Basic,Monthly,0.21
45,NT,Travel,2309.74,6543.01,Approved,15-05-2024,15-05-2025,Premium,Annually,0.6
61,NSW,Car,4443.23,7448.75,Approved,20-08-2023,19-08-2024,Gold,Quarterly,0.73
72,WA,Health,3309.61,3914.68,Approved,28-11-2023,27-11-2024,Gold,Annually,0.81
23,TAS,Life,3072.02,1181.05,Approved,03-06-2024,03-06-2025,Basic,Monthly,0.28
21,TAS,Home,2574.02,427.1,Approved,01-03-2024,01-03-2025,Basic,Quarterly,0.15
51,SA,Travel,2094.01,3719.88,Pending,04-07-2024,04-07-2025,Premium,Quarterly,0.76
24,WA,Life,4455.03,1912.4,Approved,25-07-2023,24-07-2024,Basic,Monthly,0.19
27,WA,Travel,1627.22,858.1,Approved,21-02-2024,20-02-2025,Basic,Quarterly,0.2
56,ACT,Travel,1234.19,3421.2,Approved,07-08-2024,07-08-2025,Premium,Quarterly,0.78
55,TAS,Life,2382.78,1473.67,Approved,21-01-2023,21-01-2024,Gold,Annually,0.57
76,TAS,Home,5211.77,11370.42,Approved,17-09-2023,16-09-2024,Gold,Annually,0.87
22,QLD,Car,3579.98,2564.79,Approved,13-05-2024,13-05-2025,Standard,Monthly,0.21
34,QLD,Travel,1211.78,609.97,Approved,13-01-2023,13-01-2024,Basic,Quarterly,0.35
62,TAS,Travel,2574.55,5908.45,Approved,16-11-2023,15-11-2024,Gold,Annually,0.67
57,QLD,Home,4511.35,11427.19,Rejected,15-09-2023,14-09-2024,Premium,Annually,0.68
48,NSW,Life,2037.91,2250.24,Approved,30-09-2023,29-09-2024,Premium,Annually,0.59
28,SA,Travel,1825.9,679.1,Approved,07-05-2023,06-05-2024,Standard,Monthly,0.16
69,ACT,Life,5195.53,8255.05,Approved,28-05-2023,27-05-2024,Gold,Annually,0.57
58,TAS,Car,3067.62,2348.85,Pending,06-08-2024,06-08-2025,Gold,Annually,0.76
69,NT,Life,3380.97,12026.91,Approved,10-06-2024,10-06-2025,Gold,Annually,0.8
48,TAS,Car,1816.19,1347.48,Approved,21-06-2024,21-06-2025,Premium,Quarterly,0.33
34,VIC,Life,3225.63,4528.05,Rejected,18-02-2024,17-02-2025,Standard,Quarterly,0.38
23,NSW,Life,4860.96,4996.03,Approved,27-03-2023,26-03-2024,Standard,Monthly,0.26
25,VIC,Health,3702.98,2816.95,Approved,22-07-2023,21-07-2024,Basic,Monthly,0.18
28,QLD,Travel,1718.52,871.46,Approved,06-04-2023,05-04-2024,Standard,Quarterly,0.13
21,TAS,Life,2286.33,955.2,Approved,12-07-2024,12-07-2025,Basic,Monthly,0.23
58,NT,Home,2513.05,3626.66,Rejected,12-04-2024,12-04-2025,Gold,Quarterly,0.75
39,NT,Car,2070.15,3325.58,Approved,23-07-2024,23-07-2025,Basic,Monthly,0.38
76,WA,Travel,2813.46,11225.15,Approved,25-08-2023,24-08-2024,Gold,Quarterly,0.87
50,NT,Home,5346.18,3133.87,Approved,07-03-2024,07-03-2025,Gold,Annually,0.31
30,ACT,Travel,2157.29,1754.84,Approved,28-10-2023,27-10-2024,Standard,Quarterly,0.22
60,NT,Car,1284.12,2869.78,Rejected,27-08-2023,26-08-2024,Gold,Annually,0.61
55,ACT,Health,3372.82,6094.43,Approved,22-06-2023,21-06-2024,Premium,Annually,0.56
52,ACT,Health,4226.04,4280.46,Rejected,22-03-2024,22-03-2025,Premium,Annually,0.78
78,QLD,Life,4718.27,18214.2,Approved,31-08-2023,30-08-2024,Gold,Annually,0.81
28,NT,Home,916.16,588.81,Approved,02-05-2024,02-05-2025,Basic,Monthly,0.21
57,NSW,Life,6817.53,16543.02,Rejected,01-11-2023,31-10-2024,Gold,Quarterly,0.71
55,QLD,Car,1783.82,2271.28,Approved,03-02-2023,03-02-2024,Gold,Annually,0.75
79,QLD,Health,2621.52,7380.17,Approved,04-04-2024,04-04-2025,Gold,Annually,0.75
39,TAS,Home,3913.86,5777.52,Approved,24-09-2024,24-09-2025,Standard,Quarterly,0.53
65,NT,Health,6261.12,9496.24,Approved,04-02-2024,03-02-2025,Gold,Annually,0.61
27,TAS,Home,2305.17,2240.04,Approved,31-03-2023,30-03-2024,Basic,Quarterly,0.28
38,WA,Home,1529.44,1132.52,Rejected,23-01-2024,22-01-2025,Standard,Monthly,0.45
27,NSW,Home,1318.32,741.33,Pending,20-11-2024,20-11-2025,Standard,Monthly,0.13
33,QLD,Health,1347.4,3759.17,Approved,07-04-2024,07-04-2025,Standard,Monthly,0.56
77,NT,Travel,1681.74,3314.99,Approved,20-03-2024,20-03-2025,Gold,Annually,0.79
67,ACT,Health,2114.25,3368.77,Approved,06-01-2024,05-01-2025,Gold,Quarterly,0.59
28,TAS,Car,3444.0,4105.08,Approved,24-01-2023,24-01-2024,Standard,Monthly,0.25
57,ACT,Travel,597.59,893.77,Pending,17-05-2023,16-05-2024,Gold,Quarterly,0.78
22,VIC,Life,3033.55,1426.63,Approved,19-08-2023,18-08-2024,Basic,Quarterly,0.15
59,WA,Home,3160.34,5497.78,Approved,04-07-2024,04-07-2025,Premium,Annually,0.7
42,WA,Travel,730.64,819.36,Approved,25-12-2023,24-12-2024,Premium,Quarterly,0.32
67,QLD,Car,5205.0,14624.51,Pending,27-02-2024,26-02-2025,Gold,Annually,0.59
38,NSW,Health,4569.12,7763.85,Approved,11-09-2023,10-09-2024,Basic,Monthly,0.49
23,TAS,Travel,725.7,620.97,Approved,13-08-2023,12-08-2024,Standard,Monthly,0.21
76,VIC,Car,3816.52,4238.16,Approved,23-05-2023,22-05-2024,Gold,Annually,0.9
34,VIC,Car,824.78,635.64,Approved,03-05-2023,02-05-2024,Basic,Quarterly,0.36
32,QLD,Health,6429.11,10109.88,Approved,25-09-2024,25-09-2025,Premium,Annually,0.34
64,ACT,Travel,568.85,2052.36,Approved,20-10-2023,19-10-2024,Gold,Annually,0.74
30,TAS,Life,2097.35,800.72,Approved,16-08-2023,15-08-2024,Standard,Monthly,0.12
34,TAS,Life,3295.6,2832.45,Approved,23-10-2024,23-10-2025,Standard,Quarterly,0.31
46,WA,Home,5125.8,4584.75,Approved,08-03-2023,07-03-2024,Premium,Annually,0.3
21,NSW,Car,1024.65,844.95,Approved,23-01-2024,22-01-2025,Standard,Monthly,0.28
71,VIC,Health,5135.22,7597.28,Approved,21-06-2023,20-06-2024,Gold,Quarterly,0.93
57,VIC,Travel,724.06,1103.04,Pending,01-06-2023,31-05-2024,Gold,Quarterly,0.7
77,VIC,Home,1483.41,1809.02,Approved,08-01-2024,07-01-2025,Gold,Quarterly,0.74
76,NSW,Travel,2923.02,2708.55,Approved,14-06-2023,13-06-2024,Gold,Quarterly,0.82
26,TAS,Health,3006.49,459.68,Approved,05-09-2023,04-09-2024,Basic,Monthly,0.13
39,NSW,Home,4093.01,5558.87,Rejected,11-05-2024,11-05-2025,Standard,Monthly,0.54
34,SA,Travel,1783.61,2255.38,Approved,23-03-2023,22-03-2024,Basic,Monthly,0.47
67,TAS,Health,4811.46,8038.33,Pending,11-02-2024,10-02-2025,Gold,Quarterly,0.56
44,NSW,Car,2766.82,1847.35,Rejected,20-07-2024,20-07-2025,Premium,Annually,0.54
67,VIC,Car,1611.39,1429.92,Rejected,08-09-2024,08-09-2025,Gold,Quarterly,0.61
62,NSW,Life,3751.58,4878.72,Approved,06-12-2023,05-12-2024,Gold,Quarterly,0.67
38,WA,Health,4073.37,2004.92,Approved,09-07-2024,09-07-2025,Premium,Annually,0.42
31,VIC,Home,940.32,2147.84,Pending,10-05-2023,09-05-2024,Premium,Annually,0.5
53,NT,Home,3362.01,4650.09,Approved,11-08-2024,11-08-2025,Premium,Quarterly,0.68
21,NSW,Home,1531.35,771.92,Approved,25-01-2024,24-01-2025,Standard,Monthly,0.11
58,VIC,Car,763.23,2474.32,Pending,12-10-2023,11-10-2024,Gold,Annually,0.66
54,ACT,Life,2818.61,2082.61,Rejected,24-12-2023,23-12-2024,Premium,Annually,0.52
70,WA,Home,4225.27,11245.38,Rejected,24-12-2023,23-12-2024,Gold,Annually,0.67
32,QLD,Health,2326.96,3415.78,Approved,14-12-2023,13-12-2024,Basic,Monthly,0.49
70,QLD,Health,3803.23,12227.33,Approved,27-11-2024,27-11-2025,Gold,Quarterly,0.65
35,QLD,Car,2795.67,3317.32,Approved,04-09-2024,04-09-2025,Standard,Quarterly,0.35
37,NSW,Life,2173.11,2711.1,Rejected,24-12-2023,23-12-2024,Premium,Annually,0.4
66,ACT,Car,1193.95,2182.8,Rejected,30-06-2023,29-06-2024,Gold,Quarterly,0.69
38,ACT,Car,4121.7,7284.58,Approved,17-02-2024,16-02-2025,Standard,Monthly,0.54
40,NT,Home,2416.1,4818.75,Rejected,31-03-2023,30-03-2024,Premium,Annually,0.5
31,ACT,Travel,367.16,167.61,Pending,08-01-2023,08-01-2024,Basic,Monthly,0.3
28,QLD,Travel,659.24,654.15,Rejected,24-10-2024,24-10-2025,Basic,Monthly,0.29
48,NT,Car,1611.35,3523.92,Approved,14-06-2023,13-06-2024,Premium,Annually,0.57
28,QLD,Home,2895.92,733.4,Approved,28-03-2024,28-03-2025,Standard,Monthly,0.11
24,SA,Life,4397.98,3855.71,Approved,16-01-2024,15-01-2025,Standard,Monthly,0.2
36,QLD,Car,740.8,1792.95,Approved,29-10-2024,29-10-2025,Standard,Quarterly,0.49
39,VIC,Health,3485.09,8292.43,Approved,09-04-2023,08-04-2024,Standard,Monthly,0.48
36,NT,Car,2035.76,3453.0,Approved,03-04-2023,02-04-2024,Standard,Monthly,0.55
38,ACT,Home,1802.91,2698.8,Approved,12-06-2024,12-06-2025,Standard,Monthly,0.44
59,QLD,Home,1110.13,1042.71,Approved,06-08-2024,06-08-2025,Premium,Annually,0.63
31,TAS,Home,2539.25,4396.61,Rejected,05-01-2023,05-01-2024,Basic,Quarterly,0.39
35,ACT,Health,2295.22,3297.81,Approved,18-02-2024,17-02-2025,Standard,Monthly,0.38
29,TAS,Health,4346.32,4165.43,Approved,16-01-2024,15-01-2025,Standard,Monthly,0.21
21,ACT,Health,1487.91,1421.65,Approved,12-05-2024,12-05-2025,Basic,Monthly,0.27
28,NSW,Travel,1591.14,1323.63,Approved,01-03-2024,01-03-2025,Basic,Quarterly,0.24
72,WA,Home,4846.02,21077.2,Rejected,10-06-2024,10-06-2025,Gold,Annually,0.95
52,SA,Home,5667.83,4489.03,Approved,16-04-2024,16-04-2025,Gold,Annually,0.7
63,WA,Home,3795.66,8011.95,Approved,18-01-2024,17-01-2025,Gold,Quarterly,0.53
25,TAS,Car,2878.17,728.26,Rejected,10-10-2023,09-10-2024,Basic,Quarterly,0.14
48,NSW,Travel,626.26,776.43,Approved,15-03-2023,14-03-2024,Premium,Quarterly,0.35
53,NSW,Home,2463.59,4252.95,Approved,23-10-2024,23-10-2025,Gold,Annually,0.66
30,ACT,Home,2695.68,2293.26,Approved,10-08-2024,10-08-2025,Standard,Monthly,0.19
24,NSW,Life,2060.37,1927.15,Rejected,07-09-2023,06-09-2024,Basic,Monthly,0.19
26,NSW,Life,5474.43,1858.47,Approved,23-02-2024,22-02-2025,Standard,Monthly,0.14
43,ACT,Travel,2491.11,5290.05,Pending,02-03-2023,01-03-2024,Premium,Annually,0.53
26,NT,Home,3799.73,1795.1,Approved,12-09-2024,12-09-2025,Standard,Monthly,0.28
38,VIC,Life,4697.35,7273.9,Approved,25-08-2024,25-08-2025,Standard,Monthly,0.46
30,WA,Life,4328.4,3703.06,Approved,23-11-2024,23-11-2025,Standard,Quarterly,0.26
74,WA,Home,2099.16,4907.37,Approved,05-07-2024,05-07-2025,Gold,Quarterly,0.88
53,TAS,Health,2671.9,6543.87,Approved,07-11-2023,06-11-2024,Gold,Annually,0.56
29,TAS,Car,3684.08,4713.55,Approved,12-03-2024,12-03-2025,Basic,Monthly,0.29
29,ACT,Car,3373.27,1780.02,Approved,04-03-2024,04-03-2025,Basic,Monthly,0.26
27,WA,Life,4014.16,2667.52,Rejected,28-06-2024,28-06-2025,Basic,Monthly,0.15
37,QLD,Car,3982.88,4124.72,Approved,13-05-2024,13-05-2025,Premium,Quarterly,0.52
58,ACT,Home,4445.26,5207.18,Rejected,04-12-2023,03-12-2024,Premium,Annually,0.61
67,TAS,Health,3516.95,3864.44,Approved,05-02-2023,05-02-2024,Gold,Quarterly,0.8
34,ACT,Travel,441.33,1068.45,Approved,14-04-2023,13-04-2024,Basic,Quarterly,0.49
63,NSW,Home,2005.29,2714.97,Approved,08-03-2024,08-03-2025,Gold,Quarterly,0.64
79,WA,Travel,2769.9,8249.34,Approved,02-04-2024,02-04-2025,Gold,Quarterly,0.76
30,VIC,Health,4604.95,1733.49,Approved,15-06-2024,15-06-2025,Standard,Monthly,0.15
58,ACT,Travel,576.6,603.08,Approved,19-07-2023,18-07-2024,Gold,Annually,0.8
36,ACT,Health,2940.22,4377.4,Approved,24-01-2024,23-01-2025,Standard,Monthly,0.31
30,TAS,Life,4580.14,4458.61,Approved,15-07-2024,15-07-2025,Basic,Monthly,0.26
20,SA,Life,2949.01,1781.98,Rejected,30-12-2024,30-12-2025,Standard,Monthly,0.27
27,NSW,Car,3645.14,2704.17,Approved,03-04-2023,02-04-2024,Basic,Monthly,0.2
57,VIC,Car,5098.72,10928.02,Approved,01-01-2024,31-12-2024,Premium,Annually,0.78
40,VIC,Home,3196.18,8649.5,Approved,22-03-2024,22-03-2025,Premium,Annually,0.59
23,WA,Life,2699.65,2837.54,Rejected,01-05-2024,01-05-2025,Standard,Monthly,0.27
41,NSW,Travel,1256.59,763.15,Approved,23-07-2023,22-07-2024,Premium,Annually,0.38
25,ACT,Travel,2008.85,364.93,Rejected,21-11-2023,20-11-2024,Standard,Quarterly,0.15
44,QLD,Health,2166.39,3260.5,Approved,11-07-2023,10-07-2024,Premium,Annually,0.39
53,TAS,Travel,1950.62,4835.06,Approved,23-04-2024,23-04-2025,Premium,Quarterly,0.56
34,QLD,Home,2155.05,1285.86,Approved,21-06-2024,21-06-2025,Premium,Quarterly,0.33
61,TAS,Home,5904.23,20262.0,Approved,16-12-2024,16-12-2025,Gold,Annually,0.71
39,SA,Car,2589.63,2118.52,Approved,23-07-2024,23-07-2025,Standard,Monthly,0.35
22,NSW,Travel,1616.95,1219.42,Approved,17-10-2024,17-10-2025,Basic,Monthly,0.17
34,NT,Home,801.14,901.02,Approved,15-01-2024,14-01-2025,Basic,Quarterly,0.36
27,VIC,Car,1242.35,715.93,Pending,26-05-2023,25-05-2024,Standard,Monthly,0.28
52,QLD,Life,4782.41,4393.31,Approved,12-05-2024,12-05-2025,Premium,Annually,0.7
31,SA,Health,2073.09,4614.7,Approved,05-06-2024,05-06-2025,Basic,Quarterly,0.47
25,SA,Car,2393.68,729.0,Approved,20-08-2024,20-08-2025,Basic,Quarterly,0.14
33,NT,Health,1168.88,2631.09,Approved,18-02-2024,17-02-2025,Standard,Monthly,0.53
51,WA,Car,1379.43,4760.37,Approved,15-05-2023,14-05-2024,Gold,Annually,0.75
20,NSW,Home,1358.08,938.07,Approved,01-01-2024,31-12-2024,Basic,Monthly,0.25
61,NT,Car,3974.01,14540.99,Pending,29-12-2024,29-12-2025,Gold,Annually,0.74
41,NSW,Health,6243.77,2684.46,Pending,23-07-2023,22-07-2024,Premium,Annually,0.31
79,NSW,Life,7275.47,16814.07,Pending,28-04-2024,28-04-2025,Gold,Annually,0.82
50,WA,Health,7020.16,4872.97,Pending,22-01-2024,21-01-2025,Gold,Quarterly,0.44
36,WA,Travel,1574.38,2539.42,Approved,11-07-2023,10-07-2024,Standard,Quarterly,0.52
72,NSW,Home,4257.18,4335.93,Pending,06-04-2023,05-04-2024,Gold,Annually,0.8
37,VIC,Travel,418.51,797.66,Approved,25-07-2023,24-07-2024,Premium,Annually,0.56
37,NT,Health,3490.53,2574.78,Approved,18-09-2023,17-09-2024,Standard,Monthly,0.55
63,QLD,Health,2482.55,3174.4,Approved,15-08-2024,15-08-2025,Gold,Annually,0.67
32,QLD,Health,3154.27,1513.5,Approved,05-12-2024,05-12-2025,Standard,Monthly,0.4
56,TAS,Travel,2329.5,5933.26,Approved,23-12-2024,23-12-2025,Premium,Quarterly,0.77
36,NT,Life,1697.83,710.67,Rejected,11-03-2023,10-03-2024,Basic,Monthly,0.37
45,NT,Home,2364.43,3972.81,Rejected,20-10-2023,19-10-2024,Premium,Quarterly,0.36
60,VIC,Travel,1239.7,1457.32,Pending,06-04-2023,05-04-2024,Gold,Quarterly,0.71
76,QLD,Travel,1125.43,1291.21,Approved,28-01-2024,27-01-2025,Gold,Annually,0.89
37,VIC,Health,1029.65,960.33,Approved,22-01-2024,21-01-2025,Basic,Monthly,0.37
27,VIC,Health,2478.26,2413.37,Approved,10-12-2023,09-12-2024,Standard,Monthly,0.25
29,NT,Car,790.35,844.87,Pending,19-05-2023,18-05-2024,Basic,Monthly,0.28
38,VIC,Car,3285.88,2921.84,Rejected,20-11-2023,19-11-2024,Basic,Monthly,0.4
23,ACT,Health,1258.15,979.19,Approved,27-04-2024,27-04-2025,Standard,Monthly,0.18
55,QLD,Travel,2705.4,1528.06,Approved,21-03-2023,20-03-2024,Gold,Quarterly,0.55
55,QLD,Car,1580.1,2805.16,Rejected,06-02-2024,05-02-2025,Premium,Annually,0.59
39,NT,Life,3022.76,1385.88,Approved,13-04-2023,12-04-2024,Basic,Quarterly,0.32
38,WA,Life,4395.3,5258.55,Approved,20-02-2023,20-02-2024,Standard,Monthly,0.4
20,VIC,Car,2617.69,1612.43,Approved,25-01-2023,25-01-2024,Standard,Monthly,0.17
21,NT,Health,2651.65,2716.14,Approved,13-03-2024,13-03-2025,Standard,Quarterly,0.24
25,VIC,Health,3631.58,4920.22,Approved,08-02-2023,08-02-2024,Standard,Monthly,0.3
24,TAS,Car,3265.28,3274.92,Approved,04-11-2023,03-11-2024,Standard,Monthly,0.25
49,NSW,Travel,466.12,712.15,Approved,23-01-2024,22-01-2025,Premium,Annually,0.51
69,NT,Life,5677.83,14961.91,Rejected,17-11-2024,17-11-2025,Gold,Annually,0.74
38,NT,Home,1314.54,2233.13,Approved,13-02-2023,13-02-2024,Standard,Monthly,0.55
67,NSW,Home,5657.41,3722.39,Approved,23-03-2023,22-03-2024,Gold,Annually,0.6
50,TAS,Home,3996.75,4200.05,Approved,03-02-2024,02-02-2025,Gold,Annually,0.38
38,NT,Travel,1418.45,2253.13,Approved,11-10-2024,11-10-2025,Standard,Monthly,0.34
39,NT,Car,3986.91,8222.73,Pending,07-04-2024,07-04-2025,Standard,Monthly,0.52
73,NT,Home,3295.14,12952.08,Approved,09-10-2024,09-10-2025,Gold,Annually,0.86
43,ACT,Home,3975.87,2980.2,Approved,27-08-2024,27-08-2025,Premium,Annually,0.35
22,TAS,Travel,1360.34,219.53,Approved,05-11-2023,04-11-2024,Basic,Monthly,0.14
21,NT,Home,1123.71,372.5,Pending,09-02-2023,09-02-2024,Basic,Monthly,0.22
57,NT,Travel,2499.22,5141.82,Approved,30-10-2023,29-10-2024,Premium,Annually,0.5
35,SA,Car,2129.88,1148.46,Rejected,06-10-2024,06-10-2025,Premium,Annually,0.33
25,QLD,Health,4180.14,2832.3,Approved,16-09-2023,15-09-2024,Basic,Monthly,0.15
28,TAS,Life,4569.69,4072.42,Pending,26-12-2024,26-12-2025,Basic,Monthly,0.23
74,SA,Health,5856.69,17178.21,Rejected,25-12-2024,25-12-2025,Gold,Quarterly,0.71
56,NSW,Travel,595.14,1713.87,Rejected,22-04-2023,21-04-2024,Gold,Annually,0.59
31,NSW,Car,2134.35,3351.56,Approved,15-11-2024,15-11-2025,Basic,Monthly,0.33
20,NSW,Travel,1290.7,383.71,Approved,04-08-2024,04-08-2025,Standard,Monthly,0.22
30,TAS,Car,3030.74,1132.84,Approved,07-07-2023,06-07-2024,Standard,Quarterly,0.16
67,TAS,Home,4152.77,11345.94,Approved,03-06-2024,03-06-2025,Gold,Annually,0.57
25,TAS,Home,3710.51,4584.08,Pending,14-05-2023,13-05-2024,Standard,Quarterly,0.25
32,QLD,Car,3317.3,4129.43,Approved,25-12-2023,24-12-2024,Standard,Monthly,0.54
64,TAS,Car,1307.54,2029.72,Approved,13-06-2024,13-06-2025,Gold,Quarterly,0.77
22,WA,Health,1237.09,552.37,Approved,11-03-2023,10-03-2024,Basic,Monthly,0.19
52,NT,Life,4496.8,11326.41,Approved,29-10-2024,29-10-2025,Premium,Annually,0.79
39,NSW,Travel,1428.84,998.57,Approved,13-06-2023,12-06-2024,Basic,Monthly,0.32
71,ACT,Life,5585.86,14866.69,Approved,13-11-2023,12-11-2024,Gold,Quarterly,0.89
25,VIC,Health,4827.82,3149.93,Approved,08-02-2024,07-02-2025,Standard,Monthly,0.15
31,NSW,Travel,1399.81,1287.33,Rejected,29-10-2024,29-10-2025,Standard,Quarterly,0.48
73,SA,Car,2402.18,8301.01,Rejected,26-05-2023,25-05-2024,Gold,Quarterly,0.78
64,NT,Life,5437.36,12289.86,Approved,19-01-2023,19-01-2024,Gold,Annually,0.67
46,TAS,Life,1721.32,1537.47,Approved,11-08-2023,10-08-2024,Premium,Quarterly,0.56
24,NSW,Travel,1506.42,331.97,Approved,27-11-2023,26-11-2024,Basic,Monthly,0.1
37,ACT,Car,1418.93,1005.56,Pending,15-07-2024,15-07-2025,Basic,Quarterly,0.35
63,SA,Home,819.91,2373.03,Approved,10-07-2023,09-07-2024,Gold,Annually,0.6
33,ACT,Travel,1580.06,2668.54,Approved,16-08-2024,16-08-2025,Standard,Monthly,0.59
33,QLD,Life,2355.06,4749.07,Rejected,21-06-2024,21-06-2025,Standard,Quarterly,0.52
31,ACT,Home,3045.16,5210.1,Rejected,21-09-2024,21-09-2025,Standard,Monthly,0.35
75,TAS,Car,2285.19,6044.77,Approved,01-11-2024,01-11-2025,Gold,Annually,0.7
39,NSW,Home,905.29,1151.68,Approved,27-12-2023,26-12-2024,Premium,Annually,0.48
21,WA,Car,2900.24,895.64,Approved,19-09-2023,18-09-2024,Standard,Monthly,0.17
75,VIC,Health,5197.11,10321.09,Approved,11-10-2024,11-10-2025,Gold,Annually,0.79
50,NT,Car,5247.64,11340.56,Approved,29-05-2024,29-05-2025,Gold,Quarterly,0.44
30,NT,Home,2778.39,1224.94,Approved,09-09-2024,09-09-2025,Basic,Monthly,0.17
52,WA,Health,7229.66,7206.9,Rejected,15-08-2024,15-08-2025,Gold,Quarterly,0.66
52,VIC,Health,5731.89,6952.76,Approved,03-06-2024,03-06-2025,Gold,Annually,0.77
34,NSW,Life,4299.05,2308.57,Approved,02-01-2023,02-01-2024,Standard,Quarterly,0.39
21,QLD,Life,1845.14,1081.26,Approved,09-05-2024,09-05-2025,Basic,Monthly,0.2
75,VIC,Car,2330.02,8033.0,Approved,03-10-2024,03-10-2025,Gold,Annually,0.88
34,VIC,Health,2458.12,1632.15,Approved,20-11-2023,19-11-2024,Basic,Monthly,0.32
49,ACT,Travel,658.88,664.28,Approved,13-06-2024,13-06-2025,Premium,Annually,0.38
21,ACT,Home,586.41,460.29,Approved,23-02-2024,22-02-2025,Standard,Quarterly,0.16
50,VIC,Home,1073.2,418.15,Rejected,28-06-2023,27-06-2024,Gold,Annually,0.35
38,TAS,Health,1433.6,2840.88,Approved,17-08-2023,16-08-2024,Basic,Quarterly,0.44
68,ACT,Life,2745.76,9970.86,Approved,02-07-2023,01-07-2024,Gold,Annually,0.75
42,SA,Home,3939.97,5352.92,Approved,04-01-2024,03-01-2025,Premium,Quarterly,0.45
36,NT,Life,3281.32,3409.85,Approved,04-03-2023,03-03-2024,Premium,Quarterly,0.36
32,WA,Health,3247.82,4400.37,Rejected,22-09-2023,21-09-2024,Premium,Annually,0.51
21,SA,Health,2704.32,4022.48,Approved,18-03-2023,17-03-2024,Standard,Monthly,0.3
52,QLD,Health,6916.01,17249.05,Rejected,08-11-2023,07-11-2024,Gold,Annually,0.54
36,WA,Home,1477.03,3191.97,Approved,16-07-2024,16-07-2025,Basic,Monthly,0.51
